指标,角色,问题,问题的不同的问法,问题类型,主题,指标名称,开始时间/基准时间,结束时间/对比时间,统计时效,维度(分组),限定条件,排序字段,排序方向,TopN,指标单位,精度,表,字段,答案-SQL部分,推荐的关联问题,结果+分析解读部分,
毛利额,"老板【总部】,采购【总部】,营销【总部】",5月9号各门店的毛利额排名情况如何？,"5月9号毛利额排名，各门店的？
各分店毛利额排名情况如何，5月9号？
门店毛利额的排名情况如何，5月9号？
各门店毛利额排名如何，5月9号？
各分店的毛利额排名情况如何，5月9号？
各门店毛利额排名情况怎样，5月9号？
毛利额排名，各门店的怎样，5月9号？",排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区5月9号各门店的毛利额排名情况如何？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",上个月毛利额最高的前五个品类是什么？,"上个月的毛利润，哪些类别位列Top 5？
利润额最高的五个类目，上个月是什么？
上月，哪些商品类别的毛利额排名前五？
先前一个月，哪些类别的收益额是最高的？
上个月份，哪些大类的毛利率在前五位？
上月，哪些课的毛利润额最高？
上个月，前五个最高毛利额的品类有哪些？
上月毛利额领先的五个类目是哪些？
上月，哪些商品类别的毛利额位居前五？
上个月，哪些类别的毛利润额是最高的？
上月，毛利额最高的五个商品类别包括哪些？
上个月，哪些类目的毛利润额位列前茅？
上月，毛利额最高的五个商品类别是哪些？
上月，哪些品类的毛利额排在最前？
上个月，哪些商品类别的毛利额排在最顶端？
上月，哪些类别的毛利润额是毛利额最高的？
上个月，哪五个商品类别的毛利额最高？
上个月，哪些类别的毛利额是前五个最高？
上个月，哪些商品类别的毛利额在Top 5？
上月，哪些商品类别的毛利额排名前五位？
上个月，毛利额最高的商品类别有哪些？
上月，毛利额排行榜的前五名是哪些商品类别？
上个月份，哪些商品类别的毛利额领先？
上个月，毛利额Top 5的类目是哪些？
上月，毛利额领先五个商品类别包括哪些？
上个月，毛利额排名前五的课目有哪些？
四月份，毛利额最高的商品类目有哪些？
上个月，毛利额前五名的类目有哪些商品类别？
上月，毛利额位列前茅的商品类别有哪些？
上个月份，毛利额Top 5的商品类别包括哪些？
上个月，毛利额排名前五位的商品类别有哪些？
四月，毛利额领先五个商品类别有哪些？
上月，毛利额前五的类目有哪些商品类别？
上个月，毛利额前五强的商品类别有哪些？
上个月份，毛利额排行榜顶端的商品类别有哪些？
上个月，毛利额领先的五个商品类别有哪些？
四月份，毛利额前五名的商品类别有哪些？
上月，毛利额位列顶端的商品类别有哪些？
上个月，毛利额前五强的类目有哪些商品类别？
上个月份，毛利额排行榜前五的商品类别有哪些？
上个月，毛利额排名前五的类目有哪些？
四月，毛利额前五的商品类别有哪些？
上月，毛利额领先类目有哪些商品类别？
上个月，毛利额排行榜前五位的类目有哪些？
上个月份，毛利额前五的商品类别有哪些？",排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月毛利额最高的前五个品类是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店上个月毛利额最高的前五个品类是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",上周金枕榴莲的毛利额是多少？,"上周金枕榴莲的毛利润是多少？
金枕榴莲，上星期的毛利额是多少？
上周8978271的毛利情况如何？
8978271，上周的毛利润额是多少？
上星期金枕榴莲的毛利额情况怎样？
金枕榴莲，上周的毛利润额如何？
上周8978271的毛利额有多少？
上周的金枕榴莲，毛利额情况如何？
8978271，上星期的毛利额情况怎样？
上周金枕榴莲的毛利额情况怎样？
金枕榴莲上星期的毛利额是多少？
上周8978271的毛利润额情况如何？
上周的金枕榴莲，毛利润额有多少？
8978271，上周的毛利额情况如何？
上周金枕榴莲的毛利额情况如何？
金枕榴莲，上个星期的毛利润额是多少？
上周8978271的毛利额情况怎样？
上星期的金枕榴莲，毛利额有多少？
8978271，上周的毛利润额情况如何？
上周的金枕榴莲，毛利额情况怎样？
金枕榴莲上星期的毛利额情况如何？
上周8978271的毛利额是多少？
上周金枕榴莲的毛利润额情况怎样？
8978271上星期的毛利额情况如何？
上周的8978271，毛利额有多少？
金枕榴莲，上周的毛利额情况如何？
上周8978271的毛利润额情况如何？
上星期金枕榴莲的毛利额是多少？
金枕榴莲，上周的毛利润额情况怎样？
上周的8978271，毛利额情况如何？
8978271，上星期的毛利额情况如何？
上周金枕榴莲的毛利额有多少？
金枕榴莲上星期的毛利润额情况如何？
上周8978271的毛利额情况怎样？
上周的金枕榴莲，毛利润额是多少？
8978271，上周的毛利额情况怎样？
上周金枕榴莲的毛利额情况如何？
金枕榴莲，上星期的毛利额情况怎样？
上周8978271的毛利润额是多少？
上星期的金枕榴莲，毛利额有多少？
8978271，上周的毛利额情况如何？
上周的金枕榴莲，毛利润额情况如何？
金枕榴莲上星期的毛利额是多少？
上周8978271的毛利额情况怎样？
上周金枕榴莲的毛利润额情况如何？
8978271上星期的毛利额情况如何？
上周的8978271，毛利额有多少？
金枕榴莲，上周的毛利额情况怎样？
上周8978271的毛利润额情况如何？
上星期金枕榴莲的毛利额情况如何？",指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上周金枕榴莲的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】,品类长【门店】",西湖店上周金枕榴莲的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",上个月线上渠道的毛利额是多少？,"上个月电商的毛利额是多少？
线上上月的毛利润额如何？
上个月份，电商渠道的毛利额有多少？
线上渠道前一月的毛利润额情况怎样？
电商上个月的毛利额是多少？
电商渠道上个月的毛利额情况如何？
上个月线上的毛利润额情况怎样？
线上前一个月的毛利额是多少？
电商渠道上个月的毛利额情况如何？
上个月电商的毛利润额情况怎样？
线上上个月的毛利额情况如何？
电商渠道前一月份的毛利额是多少？
上月电商的毛利额情况如何？
电商上个月的毛利润额有多少？
线上上个月的毛利额情况怎样？
电商渠道上个月的毛利润额情况如何？
上个月线上的毛利额是多少？
线上上个月的毛利润额情况怎样？
电商渠道上月的毛利额情况如何？
电商上个月的毛利额情况怎样？
上个月电商渠道的毛利额情况如何？
线上商城上月的毛利额有多少？
电商上个月的毛利润额情况怎样？
线上前一月的毛利额是多少？
电商渠道上个月的毛利额情况如何？
线上上个月的毛利润额情况如何？
电商上月的毛利额情况如何？
电商渠道前一个月的毛利额情况怎样？
线上上个月的毛利额有多少？
电商渠道上个月的毛利润额是多少？
上个月电商的毛利额情况如何？
线上上个月的毛利额情况怎样？
电商渠道上个月的毛利额情况如何？
电商上个月的毛利润额有多少？
线上前一月份的毛利额情况如何？
电商渠道上月的毛利额情况怎样？
线上上个月的毛利润额情况如何？
电商上个月的毛利额情况如何？
电商渠道上个月的毛利额有多少？
线上上个月的毛利额情况如何？
电商上月的毛利润额情况如何？
电商渠道前一个月的毛利额情况怎样？
线上上个月的毛利额是多少？
电商渠道上个月的毛利润额情况如何？
电商上个月的毛利额情况怎样？
线上上个月的毛利润额有多少？
电商渠道上月的毛利额情况如何？
电商上个月的毛利额情况如何？
线上上个月的毛利额情况怎样？
电商渠道上个月的毛利额是多少？",指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月线上渠道的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】",西湖店上个月线上渠道的毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
母婴毛利额占比,"老板【总部】,采购【总部】,营销【总部】",上月母婴毛利额占总毛利额的百分比是多少？,"上个月母婴的毛利额占总毛利额的多少？
母婴毛利额上个月占总毛利额的百分比如何？
上月毛利额中，母婴的占比情况怎样？
毛利额里，上个月母婴的占比是多少？
上个月，母婴毛利额占总毛利额的比率是多少？
上个月的毛利额，母婴占比情况如何？
母婴毛利额，上个月占总毛利额的百分比怎样？
上月，总毛利额中母婴毛利额的占比是多少？
总毛利额里，上个月母婴毛利额的占比情况如何？
上个月母婴毛利额占比是多少？
上个月，母婴毛利润占比怎样？
母婴的毛利额，上个月占总毛利额的比率如何？
上月份，母婴毛利额占总毛利额的百分比是多少？
毛利额中，上个月母婴的占比情况怎样？
上个月，母婴毛利额占总毛利额的百分比如何？
上个月的总毛利额，母婴毛利额占比是多少？
毛利额的母婴占比，上个月是多少？
上个月，母婴毛利额占总毛利额的比率怎样？
上个月，总毛利额中母婴毛利额的占比情况如何？
母婴毛利额在上月总毛利额中的占比是多少？
上个月母婴毛利额占总毛利额的占比情况怎样？
上月母婴毛利额占总毛利额的百分比情况如何？
上个月母婴毛利额占总毛利额的比率是多少？
上月母婴毛利额占总毛利额的百分比是怎样的？
上个月，母婴毛利额占总毛利额的占比情况如何？
母婴毛利额占总毛利额的百分比，上个月是多少？
上个月，母婴毛利润占总毛利润的比率如何？
上月母婴毛利额占总毛利额的比率怎样？
上个月的母婴毛利额占总毛利额的百分比情况如何？
上月，母婴毛利额占总毛利额的占比情况怎样？",指标类,毛利,,,,,,,,,,,,,,,,,
母婴毛利额占比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上月母婴毛利额占总毛利额的百分比是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
母婴毛利额占比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店上月母婴毛利额占总毛利额的百分比是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",今年的累计毛利额是多少？,"今年到目前为止的毛利额总计是多少？
毛利额，今年累计的有多少？
本年度的总毛利润累计情况怎样？
今年的全年毛利总和是多少？
累计毛利额，今年有多少？
今年的毛利额累计起来有多少？
毛利额，今年累计的总和如何？
今年到目前为止的毛利润总和怎样？
本年度的毛利额累计起来是多少？
今年毛利额的累计总和如何？
毛利额，今年累计的总计怎样？
今年到目前为止的毛利额总和如何？
毛利额，今年的累计情况如何？
本年度的总毛利润累计是多少？
今年毛利额累计的总和怎样？
毛利额，今年到目前为止的累计是多少？
今年的全年毛利额累计总和如何？
毛利额，今年累计的总计怎样？
今年到目前为止的毛利润累计总和有多少？
本年度毛利额累计的总计如何？
今年毛利额累计的总和情况怎样？
毛利额，本年度累计的有多少？
今年到目前为止的毛利额累计情况如何？
毛利额，今年累计的总和怎样？
今年的毛利额累计总和是多少？
毛利额，今年累计的总计如何？
本年度毛利额累计的总和情况如何？
今年到目前为止的毛利润总和怎样？
毛利额，今年累计的总计有多少？
今年毛利额的累计总和情况怎样？",指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区今年的累计毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店今年的累计毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类今年的累计毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",上个月毛利额在所有品类中的分布情况是怎样的？,"上月各品类的毛利额分布情况如何？
上月度品类毛利额的分布比例有哪些？
各个品类在上个月的毛利额占比情况是怎样的？
上月的品类毛利额分布图能说明什么？
上个月的毛利额在所有品类中分布均匀吗？
上月度毛利额在各个品类中的分布情况有何特点？
上个月每个品类的毛利额分布情况如何？
上月毛利额在各品类之间的分布情况是怎样的？
上个月份，毛利额在各品类中是如何分布的？
上个月的毛利额分布，品类占比情况如何？
上个月，各品类毛利额的分布情况是怎样的？
上个月的毛利额在所有品类中分布情况如何？
上个月，各品类毛利额占比情况是怎样的？
上月各品类毛利额的分布情况有哪些特点？
上个月，毛利额在各品类中占比情况如何？
上月度毛利额在各品类中的分布情况有哪些？
上个月，品类毛利额分布情况如何？
上个月，毛利额在所有品类中的分布情况是怎样的？
上月度，各品类毛利额的分布情况有哪些？
上个月，品类毛利额分布情况如何？",分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月毛利额在所有品类中的分布情况是怎样的？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店上个月毛利额在所有品类中的分布情况是怎样的？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",四月毛利额在所有品类中的分布情况是怎样的？,"4月的品类毛利额分布是怎样的？
四月份的毛利额在各个品类之间是如何分配的？
4月的毛利额在各品类中是如何分布的？
四月份每个品类的毛利额占比是多少？
4月的品类毛利额占比情况怎样？
4月，各品类的毛利额分布情况有哪些？
4月，毛利额在各品类中如何分布？
4月的品类毛利额分布情况怎样？
4月，各品类的毛利额占比情况怎样？
4月，毛利额在各品类中如何分配？",分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区四月毛利额在所有品类中的分布情况是怎样的？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店四月毛利额在所有品类中的分布情况是怎样的？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",昨天毛利额最高的前十个商品是什么？,"昨天毛利额Top10的商品有哪些？
昨天毛利额最高的10个商品包括哪些？
昨天的毛利润最高的前十名商品有哪些？
昨天毛利额最高的十名商品包括什么？
前一天毛利额最高的Top10商品是哪些？
昨天毛利额最高的前十个商品是什么？
昨天毛利润最高的10个商品包括哪些？
昨天的毛利额最高的十名商品有哪些？
昨天毛利额最高的Top10有哪些商品？
昨天毛利额最高的十个商品是什么？
昨日毛利润Top 10商品列表是什么？
前一天毛利额最高的十种商品包括哪些？
昨天毛利额最高的商品Top 10有哪些？
昨日毛利额最高的商品前10名是哪些？
前一天的毛利额Top 10商品有哪些？
昨天毛利润最高的商品前10有哪些？
前一天毛利额最高的商品Top 10是哪些？
昨天毛利额最高的商品前十个是什么？
前一天毛利额最高的十种商品是什么？
昨天毛利额最高的商品Top 10包括哪些？
前一天毛利润最高的商品Top 10有哪些？
昨天毛利额最高的商品前10名包括什么？
前一天毛利润最高的商品前十个是什么？
昨天毛利额最高的商品Top 10有哪些？
",排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店昨天毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类昨天毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店婴幼儿奶粉小类昨天毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,采购【总部】,营销【总部】",5月9号毛利额最高的前十个商品是什么？,"5月9号的毛利额最高的商品前10名有哪些？
5月9号毛利润最高的前10名商品是什么？
5月9号毛利额最高的十名商品是哪些？
5月9号的毛利额最高的十个商品是什么？
5月9号毛利润最高的前10个商品有哪些？
5月9号哪些商品的毛利额排在前10的？
5月9号毛利额最高的前十名商品有哪些？
5月9号毛利额最高的Top10商品是什么？
5月9号毛利额最高的前10个商品是哪些？
5月9号毛利润最高的前十名商品包括什么？
5月9号毛利额最高的十名商品包括哪些？
5月9号毛利润最高的商品前十个包括什么？
5月9号毛利额最高的商品十名是哪些？
5月9号毛利润最高的商品前10名有哪些？
5月9号毛利额最高的商品前10名是什么？
5月9号毛利额最高的商品十名有哪些？
",排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区5月9号毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店5月9号毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区母婴品类5月9号毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区婴幼儿奶粉小类5月9号毛利额最高的前十个商品是什么？,,排名类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】",今年的总计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",这个月华南区的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",这个月西湖店的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月母婴品类的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区这个月母婴品类的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店这个月母婴品类的计划毛利额是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月各个区域的计划毛利额是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,采购【总部】,营销【总部】",这个月各个品类的计划毛利额是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区这个月各个品类的计划毛利额是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
计划毛利额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店这个月各个品类的计划毛利额是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,采购【总部】,营销【总部】",上个月的毛利额达成率是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,营销【总部】",上个月毛利额达成率为什么同比降低了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,采购【总部】,营销【总部】",各个大区上个月的毛利额达成率是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,采购【总部】,营销【总部】",各个品类上个月的毛利额达成率是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区各个品类上个月的毛利额达成率是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店各个品类上个月的毛利额达成率是多少？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上个月的毛利额达成率是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】",华南区上个月毛利额达成率为什么比前一个月低？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【总部】,采购【门店】",西湖店上个月的毛利额达成率是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店上个月毛利额达成率为什么环比下滑了？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【总部】,采购【门店】",西湖店母婴品类上个月的毛利额达成率是多少？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【总部】,采购【门店】",西湖店母婴品类上个月的毛利额达成率为什么比去年低？,,归因类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率环比,"老板【总部】,采购【总部】,营销【总部】",与上个月相比，本月份的毛利额达成率有何变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",与上个月相比，华南区本月份的毛利额达成率有何变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率环比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",与上个月相比，西湖店本月份的毛利额达成率有何变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率环比,"老板【总部】,区域经理【总部】,店长【门店】,营销【总部】,品类长【门店】,采购【总部】,采购【门店】",与上个月相比，西湖店母婴品类本月份的毛利额达成率有何变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,采购【总部】,营销【总部】",上个月，哪些区域的毛利额达成率表现最佳？,,分布类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,营销【总部】,采购【总部】",今年至今，哪些门店的毛利额达成率最差？,,排名类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,采购【总部】",今年至今，华南区哪些门店的毛利额达成率最差？,,排名类,毛利,,,,,,,,,,,,,,,,,
门店毛利达成率排名,"老板【总部】,店长【门店】",上个月，在所有门店中，深圳店的毛利额达成率排第几名？,,指标类,毛利,,,,,,,,,,,,,,,,,
门店毛利达成率排名,"老板【总部】,区域经理【总部】,店长【门店】",上个月，在华南区所有门店中，深圳店的毛利额达成率排第几名？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,营销【总部】",上个月，哪个品类的毛利达成率最高？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】",上个月，华南区哪个品类的毛利达成率最高？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",上个月，西湖店哪个品类的毛利达成率最高？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,营销【总部】",去年全年，毛利额达成率呈现什么趋势？,,趋势类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】",去年全年，华南区的毛利额达成率呈现什么趋势？,,趋势类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",去年全年，西湖店的毛利额达成率呈现什么趋势？,,趋势类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",去年全年，西湖店母婴品类毛利额达成率呈现什么趋势？,,趋势类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率同比,"老板【总部】,营销【总部】",今年到目前为止，与去年同期相比，毛利额达成率有什么变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】",今年到目前为止，与去年同期相比，华南区毛利额达成率有什么变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",今年到目前为止，与去年同期相比，西湖店毛利额达成率有什么变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比，西湖店母婴品类毛利额达成率有什么变化？,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店昨天的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类昨天的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区婴幼儿奶粉小类昨天的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,采购【总部】,营销【总部】",上周的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上周的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店上周的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类上周的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区婴幼儿奶粉小类上周的销售额同比,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,采购【总部】,营销【总部】",今年3月份的销售额同比增长,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区今年3月份的销售额同比增长,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店今年3月份的销售额同比增长,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类今年3月份的销售额同比增长,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区婴幼儿奶粉小类今年3月份的销售额同比增长,,指标类,毛利,,,,,,,,,,,,,,,,,
毛利同比,"老板【总部】,采购【总部】,营销【总部】",上个月各区域的销售额同比增长率,,排名类,毛利,,,,,,,,,,,,,,,,,
